B_y,AL,M_x,M_y,M_z
-2,0.25,6.91077,-1019.61,4.29882
-1,0.25,9.36673,-991.135,-8.39404
-0.666667,0.25,-66.4764,-971.752,-30.2351
-0.5,0.25,78.3454,-957.008,-27.5217
-0.4,0.25,48.846,-950.277,-7.88533
-0.333333,0.25,-400.833,-871.97,20.5985
-0.285714,0.25,-651.771,-702.661,-15.8717
-0.25,0.25,-733.298,-609.937,-24.8819
-0.2,0.25,-834.228,-486.926,-7.18945
-0.181818,0.25,-796.272,-541.172,11.3455
-0.166667,0.25,856.979,-437.038,17.7939
-0.153846,0.25,862.762,-436.856,-28.414
-0.222222,0.25,800.043,-546.069,16.9404
-0.125,0.25,-910.073,-326.028,56.5594
-0.142857,0.25,911.429,-326.285,-8.5267
-0.111111,0.25,-923.678,-305.46,-27.1588
-0.117647,0.25,-926.142,-275.794,2.28195
-0.105263,0.25,-938.337,-279.208,-15.9341
-0.0909091,0.25,938.039,-265.806,-8.66531
-0.0869565,0.25,-948.654,-175.105,-56.1924
-0.133333,0.25,-913.745,-328.482,-3.97965
-0.0833333,0.25,960.831,-179.545,-53.0174
-0.0769231,0.25,-957.135,-189.166,-56.6069
-0.08,0.25,947.743,-219.197,18.3018
-0.1,0.25,942.575,-214.877,32.5967
-0.0714286,0.25,967.704,-129.525,19.1274
-0.0740741,0.25,932.246,-249.881,-82.8246
-0.0952381,0.25,-927.012,-269.672,-12.2955
-0.0666667,0.25,955.427,-192.998,29.3566
-0.0689655,0.25,-971.526,-147.469,47.0521
-0.0606061,0.25,-953.554,-199.23,25.0228
-0.0645161,0.25,957.369,-174.393,-30.2699
-0.0588235,0.25,-947.801,-162.312,89.6966
-0.0571429,0.25,-943.511,-235.493,40.85
0.0606061,0.25,-960.581,146.959,-15.2509
0.0571429,0.25,-959.047,128.337,42.4669
0.0625,0.25,974.319,122.451,53.456
0.0588235,0.25,-965.432,149.123,6.43916
-0.0625,0.25,942.899,-170.714,46.0958
0.0666667,0.25,-956.841,188.457,20.865
0.0689655,0.25,950.607,173.311,42.926
0.0740741,0.25,-951.651,158.885,8.31144
0.0769231,0.25,955.201,143.952,-79.8333
0.0645161,0.25,-968.022,171.455,-15.0749
0.0909091,0.25,938.72,236.682,-13.6867
0.0714286,0.25,951.62,181.426,-7.29737
0.0952381,0.25,-943.85,219.042,-84.1461
0.08,0.25,961.218,140.464,-45.4171
0.1,0.25,-904.951,345.088,28.3716
0.0833333,0.25,-949.94,205.199,-2.56741
0.0869565,0.25,939.635,230.557,-29.1483
0.105263,0.25,935.367,243.324,10.1835
0.111111,0.25,931.745,296.965,16.7338
0.117647,0.25,-940.056,259.149,43.1686
0.125,0.25,928.646,302.837,-14.7564
0.133333,0.25,-906.552,321.062,-34.7081
0.142857,0.25,919.196,309.861,65.0965
0.153846,0.25,902.585,353.373,-4.39434
0.166667,0.25,877.903,420.06,2.59022
0.181818,0.25,906.881,348.037,4.57805
0.2,0.25,-803.2,541.554,-4.4947
0.222222,0.25,-802.71,521.063,-9.79114
0.25,0.25,-647.486,699.662,57.8428
0.285714,0.25,-583.221,770.003,41.45
0.333333,0.25,456.35,855.549,41.0836
0.4,0.25,-103.76,947.351,-29.7997
0.5,0.25,-69.3625,961.909,33.8046
0.666667,0.25,-8.55628,980.358,-6.31346
1,0.25,-15.4595,994.829,-23.9281
2,0.25,19.5124,1015.09,4.40988
