B_y,AL,M_z,M_y,M_x
-2,0.333333,-17.5927,-1012.69,8.17695
-1,0.333333,9.70352,-985.464,0.914816
-0.666667,0.333333,13.9945,-966.547,-4.29611
-0.5,0.333333,-19.8707,-948.204,-48.0698
-0.4,0.333333,-32.321,-695.71,679.593
-0.333333,0.333333,20.9568,-646.272,725.78
-0.285714,0.333333,-31.8198,-578.034,-783.34
-0.25,0.333333,-27.9904,-479.567,-842.23
-0.181818,0.333333,-29.9221,-313.52,-910.869
-0.166667,0.333333,-21.9223,-291.65,925.738
-0.153846,0.333333,-61.928,-259.079,937.29
-0.222222,0.333333,12.5388,-449.322,-866.759
-0.2,0.333333,-23.9894,-365.173,-907.921
-0.133333,0.333333,16.9673,-279.475,-932.787
-0.125,0.333333,5.04951,-232.208,946.015
-0.117647,0.333333,12.2736,-203.998,-954.652
-0.142857,0.333333,53.08,-266.77,-943.467
-0.105263,0.333333,-44.2015,-228.371,-952.398
-0.0952381,0.333333,46.0182,-187.102,966.42
-0.0909091,0.333333,-16.3713,-168.826,-967.386
-0.0869565,0.333333,28.2579,-150.477,-969.109
-0.08,0.333333,-12.5327,-160.308,-964.211
-0.0833333,0.333333,-18.6486,-142.505,969.263
-0.111111,0.333333,15.4135,-204.258,957.158
-0.1,0.333333,32.6038,-196.19,-963.752
-0.0740741,0.333333,-14.1157,-116.864,-969.719
-0.0689655,0.333333,8.76767,-154.437,-964.001
-0.0645161,0.333333,-16.6276,-160.982,-968.612
-0.0714286,0.333333,22.757,-142.098,-971.197
-0.0625,0.333333,31.1939,-125.568,-964.775
-0.0666667,0.333333,17.8164,-119.442,975.159
-0.0606061,0.333333,7.07875,-101.998,976.102
-0.0588235,0.333333,-19.1657,-128.165,968.329
0.0588235,0.333333,-45.289,112.188,-977.853
-0.0769231,0.333333,-12.018,-181.682,968.49
-0.0571429,0.333333,-8.99753,-130.967,973.176
0.0606061,0.333333,-13.7845,157.316,-967.675
0.0571429,0.333333,29.138,87.0059,971.385
0.0625,0.333333,-9.59356,77.8398,-966.039
0.0645161,0.333333,-21.0356,145.953,-966.329
0.0666667,0.333333,-13.7614,133.326,974.202
0.0689655,0.333333,29.4651,200.259,953.316
0.0714286,0.333333,18.8282,128.611,-969.56
0.08,0.333333,-1.12132,134.319,-968.096
0.0909091,0.333333,-50.3632,144.956,959.481
0.0740741,0.333333,5.85382,181.151,-960.171
0.0952381,0.333333,-16.0564,173.277,965.247
0.0769231,0.333333,-8.41673,121.074,-971.679
0.1,0.333333,39.1718,206.222,959.509
0.0833333,0.333333,-7.74147,131.986,-979.187
0.0869565,0.333333,-9.52105,174.024,-965.082
0.105263,0.333333,2.36772,217.974,946.461
0.111111,0.333333,-17.557,221.957,-955.736
0.117647,0.333333,-20.1277,199.375,-957.854
0.125,0.333333,34.139,259.075,941.983
0.133333,0.333333,-18.8296,222.358,-953.687
0.142857,0.333333,20.553,289.193,934.507
0.153846,0.333333,-24.8698,261.93,-944.232
0.166667,0.333333,-72.2308,308.947,927.004
0.181818,0.333333,-24.8819,320.262,-927.932
0.2,0.333333,34.1271,373.316,-897.137
0.222222,0.333333,-7.63733,414.107,886.38
0.25,0.333333,-21.9739,458.809,865.23
0.285714,0.333333,4.8375,557.071,792.098
0.333333,0.333333,24.4684,561.43,-790.21
0.4,0.333333,-39.6923,767.563,-573.106
0.5,0.333333,-14.6001,942.268,218.896
0.666667,0.333333,22.9587,975.231,15.6749
1,0.333333,5.00016,984.278,-18.5679
2,0.333333,12.4202,1011.05,22.4235
