B_y,AL,M_x,M_y,M_z
-1,1,776.871,-632.914,-19.2804
-0.666667,1,923.158,-402.91,7.96137
-0.5,1,967.465,-297.805,18.4277
-0.4,1,979.019,-255.015,22.3256
-0.333333,1,-988.401,-207.308,-2.17611
-0.285714,1,1001.88,-157.975,2.75149
-2,1,-58.1707,-990.828,38.6663
-0.25,1,-1000.1,-164.094,18.9566
-0.222222,1,1001.45,-134.571,-6.41322
-0.181818,1,-200.936,-173.806,3.81657
-0.166667,1,-1015.02,-100.42,-9.64215
-0.153846,1,1008.82,-103.29,24.4319
-0.2,1,1002.97,-122.288,1.24076
-0.142857,1,1001.04,-117.185,9.72024
-0.133333,1,1008.01,-98.2005,-11.8611
-0.117647,1,-1011.29,-84.7048,5.60134
-0.125,1,96.5997,-116.06,29.3068
-0.111111,1,1012.52,-89.5345,4.99167
-0.105263,1,1012.2,-42.6776,-10.6722
-0.1,1,1009.7,-38.8648,18.9354
-0.0952381,1,1011.36,-46.0386,5.48904
-0.0909091,1,1009.49,-42.8184,12.7248
-0.0833333,1,1011.59,-57.2441,10.6981
-0.0869565,1,1011.37,-51.5965,-3.2354
-0.08,1,-1009.88,-44.3619,12.8304
-0.0769231,1,-1013.26,-52.4984,-15.9677
-0.0689655,1,-96.9517,-80.888,26.0941
-0.0714286,1,-1015.85,-48.6727,25.0408
-0.0740741,1,-1012.28,-46.9708,-19.9204
-0.0645161,1,-1014.3,-54.7812,-3.94136
-0.0588235,1,-1014.58,-21.1457,-11.1347
-0.0571429,1,-1014.57,-31.582,11.8031
0.0588235,1,-89.622,60.6714,3.98073
0.0606061,1,1011.22,24.9168,-8.14639
0.0571429,1,-1012.2,15.7565,9.34099
-0.0666667,1,-1007.32,-22.3283,-9.7389
0.0625,1,-1009.02,55.8082,26.9329
0.0645161,1,-1015.19,35.9219,6.81651
-0.0625,1,1014.79,-41.6356,-16.8043
0.0666667,1,-1015.19,50.5829,8.1848
-0.0606061,1,1.30591,-82.2279,18.3446
0.0689655,1,-8.40218,97.6215,-26.8267
0.0714286,1,1012.82,62.5466,12.5918
0.0740741,1,-1012.4,30.7427,2.96066
0.0769231,1,-1016.84,42.5714,35.3458
0.08,1,1011.18,44.4183,-28.7795
0.0833333,1,-1013.94,43.3097,-26.0289
0.0909091,1,1008.63,46.5855,-8.10835
0.0952381,1,-1010.47,90.2047,16.3872
0.1,1,1010.88,71.0401,17.5624
0.105263,1,-1009.5,68.3363,8.00488
0.0869565,1,-89.2447,88.662,-17.4937
0.111111,1,1009.79,100.002,-7.41585
0.117647,1,-1006.63,82.9331,19.1653
0.125,1,-1.62316,172.719,11.9205
0.133333,1,-281.543,155.74,-13.2811
0.142857,1,-88.1975,123.412,-13.8771
0.153846,1,1010.78,59.0026,-8.0057
0.181818,1,87.6861,206.404,-47.8952
0.2,1,-1007.29,133.01,-22.7538
0.222222,1,-1004.6,118.904,26.4337
0.25,1,-999.44,161.078,-30.7643
0.285714,1,997.855,165.37,-2.37152
0.333333,1,994.171,179.645,-1.58833
0.166667,1,-1004.7,134.257,-8.68028
0.4,1,981.977,241.886,6.69547
0.5,1,-970.988,285.236,-17.3234
0.666667,1,-935.554,390.312,-4.0425
1,1,812.165,594.747,12.3461
2,1,30.5822,996.349,-22.768
