B_y,AL,M_x,M_y,M_z
-0.95,0.5,1.58802,-969.658,-21.2662
-0.9,0.5,1.20558,-981.895,9.05757
-0.55,0.5,-689.628,-701.685,49.0169
-0.5,0.5,-744.722,-648.844,-5.28159
-0.15,0.5,976.543,-189.607,-4.21772
-0.1,0.5,977.384,-149.948,-9.46708
0.25,0.5,-948.715,284.773,44.3822
0.3,0.5,911.798,375.982,-22.5966
0.2,0.5,952.385,261.598,-24.578
-1.4,0.5,-35.0918,-994.229,-5.60465
-1,0.5,-105.261,-975.857,-3.04568
-0.6,0.5,648.948,-729.225,29.3648
-0.2,0.5,73.7557,-500.767,-23.5175
-1.45,0.5,11.8049,-992.079,4.23504
-1.35,0.5,45.4073,-991.785,44.5857
-1.15,0.5,-28.6768,-986.008,-31.507
-1.1,0.5,-4.17296,-987.689,16.0368
-1.05,0.5,72.4777,-975.664,-10.6786
-0.75,0.5,65.8274,-938.357,-11.2343
-0.7,0.5,-337.648,-911.009,2.01149
-0.65,0.5,527.949,-819.152,7.68396
-0.35,0.5,-882.3,-427.653,-33.1608
-0.3,0.5,-918.829,-360.956,16.2376
-0.25,0.5,-941.209,-317.65,-1.42728
7.63278e-016,0.5,-992.934,8.38132,-35.6277
0.05,0.5,989.239,26.8607,-22.2045
0.1,0.5,-988.029,95.241,-33.0306
0.15,0.5,564.69,450.859,23.3991
0.45,0.5,801.294,565.107,21.0244
-1.2,0.5,-28.2419,-990.219,-1.02666
-0.8,0.5,15.7865,-954.654,5.25333
-0.4,0.5,-864.703,-478.635,49.186
0.4,0.5,-859.626,476.902,16.3371
-1.5,0.5,-53.7468,-991.08,-8.44403
-1.3,0.5,-3.02377,-989.522,25.8934
-1.25,0.5,-0.467091,-990.045,-2.46608
-0.85,0.5,-41.8999,-973.213,-3.15361
-0.45,0.5,812.916,-548.811,-1.38801
-0.05,0.5,-989.3,-86.1911,-24.089
0.9,0.5,-60.4387,974.839,10.9918
0.35,0.5,-877.901,433.74,-26.0849
1.15,0.5,39.2637,987.403,-4.44536
1.1,0.5,52.327,984.888,-10.9887
1,0.5,38.3369,980.916,35.4777
1.5,0.5,73.6636,996.578,34.1593
1.3,0.5,-11.2962,993.483,-32.0087
0.55,0.5,738.55,652.72,1.35239
0.8,0.5,59.0996,958.041,-11.8655
0.75,0.5,-216.448,939.174,2.49324
0.85,0.5,12.0761,985.935,11.0532
1.05,0.5,25.981,983.126,22.4892
0.95,0.5,-12.0695,975.768,-39.0605
1.25,0.5,4.2599,989.211,-27.3128
1.35,0.5,-5.96111,987.738,-40.6167
0.7,0.5,-281.462,914.192,-17.3192
1.4,0.5,-8.8957,993.585,4.37239
0.5,0.5,-798.355,570.29,-1.43258
1.45,0.5,18.8656,996.605,7.12334
0.65,0.5,540.925,809.793,46.3208
0.6,0.5,-663.018,717.232,-7.15634
1.2,0.5,19.4104,986.7,21.737
