B_y,AL,M_x,M_y,M_z
0.1,0.5,720.972,400.958,1.64714
1.94289e-016,0.5,1096.86,28.4509,3.67835
-0.6,0.5,69.8529,-854.345,1.86473
-0.8,0.5,568.303,-914.533,1.22532
-0.7,0.5,794.16,-756.826,-0.181841
0.3,0.5,-490.85,781.061,4.9154
0.8,0.5,24.525,1095.47,3.82179
-1.3,0.5,1.42874,-1096.33,-1.17398
1.1,0.5,4.22866,1096.48,1.83631
-0.4,0.5,-146.104,-661.076,-14.6841
0.5,0.5,125.855,1079.63,-13.4476
-1.1,0.5,280.116,-1060.11,2.13814
1.3,0.5,-0.589064,1096.89,9.16017
-0.5,0.5,193.817,-777.659,-6.01016
0.4,0.5,-330.122,926.013,-2.6088
-1.2,0.5,8.48607,-1094.1,-0.764201
1.2,0.5,-8.44894,1096.5,-5.30708
-0.1,0.5,608.227,212.765,-6.61014
-0.9,0.5,-507.627,-969.72,3.13719
1.5,0.5,0.0040306,1097.07,-1.61704
0.7,0.5,-47.1349,1093.52,0.221292
-0.3,0.5,123.144,-531.816,-15.7941
-0.2,0.5,-616.702,161.202,-13.7124
-1.5,0.5,25.5422,-1096.75,-1.44646
0.2,0.5,-234.527,679.063,7.26139
1,0.5,-5.74834,1096.25,-5.92751
-1.4,0.5,4.90741,-1096.91,3.2663
0.6,0.5,-1.23182,1093.69,0.0210499
-1,0.5,409.845,-1016.68,0.820192
0.9,0.5,-21.2774,1095.96,-0.71536
1.4,0.5,-7.41059,1097.06,8.03513
